bnf_id,expected_openiti_uri,matched_uris,threshold,best_score,found_correct,num_false_positives,search_time_ms
OAI_10884191,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.MinMasailCalawi|0298HadiIlaHaqqYahya.RaddCalaHasan|0385Daraqutni.FawaidMuntaqatDhuhli|0584IbnMunqidhShayzari.Ictibar|0607IbnTabarzad.JuzShurut|0711IbnIbrahimCimadDinWasiti.Rihla|0845Maqrizi.Mawaciz|0845Maqrizi.Rasail|0877IbnMiftah.SharhAzhar|1240IbnMuhsinHimi.Tabsira|1299MuhammadCulayshMaliki.FathCali|1331JurjiZaydan.AhmadIbnTulun|1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar|1346IlyasAyyubi.MuhammadCali|1369MuhammadRida.Muhammad|1375MuhammadHusaynHaykal.HayatMuhammad|1377MuhammadCabdAllahDarraz.Din|1378CabdWahhabCazzam.MuhammadIqbal|1450Milani.NafahatAzhar,0.7,100.00,True,19,984.4
OAI_10884191,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.RaddCalaHasan|0385Daraqutni.FawaidMuntaqatDhuhli|0584IbnMunqidhShayzari.Ictibar|0845Maqrizi.Mawaciz|0877IbnMiftah.SharhAzhar|1240IbnMuhsinHimi.Tabsira|1331JurjiZaydan.AhmadIbnTulun|1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,0.75,100.00,True,10,1004.5
OAI_10884191,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.RaddCalaHasan|0385Daraqutni.FawaidMuntaqatDhuhli|0584IbnMunqidhShayzari.Ictibar|0845Maqrizi.Mawaciz|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,0.8,100.00,True,6,1052.1
OAI_10884191,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.RaddCalaHasan|0584IbnMunqidhShayzari.Ictibar|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,0.85,100.00,False,5,946.2
OAI_10884191,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0584IbnMunqidhShayzari.Ictibar|1369MuhammadRida.Muhammad|1377MuhammadCabdAllahDarraz.Din,0.9,100.00,False,4,951.0
OAI_11000928,0874IbnTaghribirdi,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|0430IbnHaytham.HayatCalam|0944IbnDaybac.NashrMahasin|1331JurjiZaydan.HajjajIbnYusuf|1332IbnMuhammadJamalDinQasimi.MahasinTawil|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din|1450MuhammadYahyaCizzan.QurashiyyatKhilafa,0.7,100.00,False,9,1045.3
OAI_11000928,0874IbnTaghribirdi,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,0.75,100.00,False,4,1074.3
OAI_11000928,0874IbnTaghribirdi,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,0.8,100.00,False,4,1064.8
OAI_11000928,0874IbnTaghribirdi,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,0.85,100.00,False,4,1065.6
OAI_11000928,0874IbnTaghribirdi,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1354RashidRida.Khilafa|1377MuhammadCabdAllahDarraz.Din,0.9,100.00,False,4,1096.2
