bnf_id,expected_uri,threshold,matched_uris,is_correct,num_matches,false_positives,search_time_ms
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0.7,0274AhmadBarqi.Mahasin|0281IbnAbiDunya.DhammDunya|0320IbnMuhammadBayhaqi.Mahasin|0751IbnQayyimJawziyya.JawabFiSiyaghHamd|0845Maqrizi.Rasail|0874IbnTaghribirdi.NujumZahira|0944IbnDaybac.NashrMahasin|1061NajmDinGhazzi.KawakibSaira|1299MuhammadCulayshMaliki.FathCali|1331JurjiZaydan.AhmadIbnTulun|1331JurjiZaydan.HajjajIbnYusuf|1332IbnMuhammadJamalDinQasimi.MahasinTawil|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din|1412YusufIdris.AkhirDunya|1423TharwatAbaza.KhuyutSama|1450ZahraSami.SanicNujum,True,17,16,917.1
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0.75,0274AhmadBarqi.Mahasin|0281IbnAbiDunya.DhammDunya|0320IbnMuhammadBayhaqi.Mahasin|0874IbnTaghribirdi.NujumZahira|1331JurjiZaydan.AhmadIbnTulun|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din|1412YusufIdris.AkhirDunya,True,8,7,939.6
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0.8,0274AhmadBarqi.Mahasin|0281IbnAbiDunya.DhammDunya|0320IbnMuhammadBayhaqi.Mahasin|0874IbnTaghribirdi.NujumZahira|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din,True,6,5,930.0
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0.85,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|0874IbnTaghribirdi.NujumZahira|1377MuhammadCabdAllahDarraz.Din,True,4,3,930.1
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0.9,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1377MuhammadCabdAllahDarraz.Din,False,3,3,937.8
OAI_11000949,0911Suyuti.HusnMuhadara,0.7,0292IbnCaliMarwazi.MusnadAbiBakr|0365IbnFaqihHamadhani.Buldan|0388IbnHasanHatimi.HilyatMuhadara|0451IbnCushariHanbali.FadailAbiBakr|0728IbnTaymiyya.FadlAbiBakr|0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr|0911Suyuti.HusnMuhadara|0926ZakariyyaAnsari.FathRahman|0928MujirDinCulaymi.FathRahman|0957ShihabDinRamli.FathRahman|1320NuriTabarsi.NafsRahman|1328MuhammadJawadBalaghi.AlaRahman|1331JurjiZaydan.CabdRahmanNasir|1331JurjiZaydan.SharlWaCabdRahman|1377MuhammadCabdAllahDarraz.Din|1383CabbasMahmudCaqqad.CabdRahmanKawakibi,True,16,15,673.0
OAI_11000949,0911Suyuti.HusnMuhadara,0.75,0388IbnHasanHatimi.HilyatMuhadara|0728IbnTaymiyya.FadlAbiBakr|0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr|0911Suyuti.HusnMuhadara|1328MuhammadJawadBalaghi.AlaRahman|1331JurjiZaydan.CabdRahmanNasir|1377MuhammadCabdAllahDarraz.Din,True,7,6,654.3
OAI_11000949,0911Suyuti.HusnMuhadara,0.8,0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr|0911Suyuti.HusnMuhadara|1331JurjiZaydan.CabdRahmanNasir|1377MuhammadCabdAllahDarraz.Din,True,4,3,636.8
OAI_11000949,0911Suyuti.HusnMuhadara,0.85,0911Suyuti.HusnMuhadara|1377MuhammadCabdAllahDarraz.Din,True,2,1,641.4
OAI_11000949,0911Suyuti.HusnMuhadara,0.9,0911Suyuti.HusnMuhadara|1377MuhammadCabdAllahDarraz.Din,True,2,1,671.1
