uri,record,gallica_url,title_lat,creator_lat,uris_for_record
0440AbuRayhanBiruni.AtharBaqiya,OAI_08406161,http://gallica.bnf.fr/ark:/12148/btv1b8406161z,"['MUḤAMMAD IBN AḤMAD AL-BĪRŪNĪ, m. après 442 h/1050. Al-Āṯār al-bāqiya ʿan al-qurūn al-ẖāliya.']","['Bīrūnī, Muḥammad ibn Aḥmad Abū al-Rayḥān al-']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_08406164,http://gallica.bnf.fr/ark:/12148/btv1b84061646,"['[Ibn Faḍl Allāh al-ʿUmarī, Masālik al-abṣār fī mamālik al-amṣār].']","['Ibn Faḍl Allâh al-ʿUmarī, Aḥmad ibn Yaḥyá']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_10030892,http://gallica.bnf.fr/ark:/12148/btv1b100308927,"['Masalik al-absar fi mamalik al-amsar , encyclopédie, par Shihab al-Din Ahmad ibn Yahya ibn Fadhl Allah al-ʿOmari ; deux volumes contenant la description géographique du monde divisée en 13 chapitres. Arabe 5867']","['Ibn Faḍl Allâh al-ʿUmarī, Aḥmad ibn Yaḥyá', 'Aboul-ʿAbbas Ahmad ibn Yahya al-Kirmani al-ʿOmari (Shihab al-Din)', 'Ahmad ibn Yahya ibn Fadhl ʿAllah al-ʿOmari (Shihab al-Din)', 'Shihab al-Din Aboul-ʿAbbas Ahmad ibn Yahya ibn Fadhl Allah al-Kirmani al-ʿOmari']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_10030893,http://gallica.bnf.fr/ark:/12148/btv1b10030893p,"['Masalik al-absar fi mamalik al-amsar , encyclopédie, par Shihab al-Din Ahmad ibn Yahya ibn Fadhl Allah al-ʿOmari ; deux volumes contenant la description géographique du monde divisée en 13 chapitres. Arabe 5868']","['Ibn Faḍl Allâh al-ʿUmarī, Aḥmad ibn Yaḥyá', 'Aboul-ʿAbbas Ahmad ibn Yahya al-Kirmani al-ʿOmari (Shihab al-Din)', 'Ahmad ibn Yahya ibn Fadhl ʿAllah al-ʿOmari (Shihab al-Din)', 'Shihab al-Din Aboul-ʿAbbas Ahmad ibn Yahya ibn Fadhl Allah al-Kirmani al-ʿOmari']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_10030912,http://gallica.bnf.fr/ark:/12148/btv1b100309129,"[""Masalik al-absar fi mamalik al-amsar , encyclopédie, par Shihab al-Din Ahmad al-ʿOmari (voir 5867 et 5868) ; le neuvième volume, contenant des biographies de musiciens et de musiciennes depuis l'époque de l'hégire.""]","['Aboul-ʿAbbas Ahmad ibn Yahya al-Kirmani al-ʿOmari (Shihab al-Din)', 'Ahmad ibn Yahya ibn Fadhl ʿAllah al-ʿOmari (Shihab al-Din)', 'Shihab al-Din Aboul-ʿAbbas Ahmad ibn Yahya ibn Fadhl Allah al-Kirmani al-ʿOmari']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_10030974,http://gallica.bnf.fr/ark:/12148/btv1b10030974p,"[""Extrait du Masalik al-absar fi mamalik wal-amsar de Shihab al-Din Aboul-ʿAbbas Ahmad ibn Yahya ibn Fadhl Allah al-ʿOmari, comprenant les généralités sur les habitants de la terre, tant à l'Orient qu'à l'Occident, et le parallèle entre ces deux contrées.""]","['Aboul-ʿAbbas Ahmad ibn Yahya al-Kirmani al-ʿOmari (Shihab al-Din)', 'Ahmad ibn Yahya ibn Fadhl ʿAllah al-ʿOmari (Shihab al-Din)', 'Shihab al-Din Aboul-ʿAbbas Ahmad ibn Yahya ibn Fadhl Allah al-Kirmani al-ʿOmari']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_10892329,http://gallica.bnf.fr/ark:/12148/btv1b10892329b,"['[Ibn Faḍl Allāh al-ʿUmarī, Masālik al-abṣār fī mamālik al-amṣār].']","['Ibn Faḍl Allâh al-ʿUmarī, Aḥmad ibn Yaḥyá']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_11001671,http://gallica.bnf.fr/ark:/12148/btv1b11001671v,[],['AḤMAD ibn Yaḥyā ibn Faḍl Allāh al-ʿUmarī (Šihāb al-Dīn)'],1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_11001735,http://gallica.bnf.fr/ark:/12148/btv1b11001735c,[],['AḤMAD ibn Yaḥyā ibn Faḍl Allāh al-ʿUmarī (Šihāb al-Dīn)'],1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_11001743,http://gallica.bnf.fr/ark:/12148/btv1b11001743w,[],['AḤMAD ibn Yaḥyā ibn Faḍl Allāh al-ʿUmarī (Šihāb al-Dīn)'],1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_11001778,http://gallica.bnf.fr/ark:/12148/btv1b11001778c,[],['AḤMAD ibn Yaḥyā ibn Faḍl Allāh al-ʿUmarī (Šihāb al-Dīn)'],1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_11001940,http://gallica.bnf.fr/ark:/12148/btv1b110019409,[],"['Abū ʿOBAYD al-Bakrī', 'ŠIHĀB AL-DĪN al-ʿUmarī', 'ʿUMAR ibn Muḥammad Ibn al-Wardī (Abū Ḥafṣ)']",1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_11002198,http://gallica.bnf.fr/ark:/12148/btv1b110021988,[],['AḤMAD ibn Yaḥyā ibn Faḍl Allāh al-ʿUmarī (Šihāb al-Dīn)'],1
0749IbnFadlAllahCumari.MasalikAbsar,OAI_52524367,http://gallica.bnf.fr/ark:/12148/btv1b525243673,[],['AḤMAD ibn Yaḥyā ibn Faḍl Allāh al-ʿUmarī (Šihāb al-Dīn)'],1
0400AbuQasimZahrawi.Tasrif,OAI_08406175,http://gallica.bnf.fr/ark:/12148/btv1b84061750,[],"['al-Zahrāwī, H̱alaf ibn ʿAbbās Abū al-Qāsim']",1
0400AbuQasimZahrawi.Tasrif,OAI_10031546,http://gallica.bnf.fr/ark:/12148/btv1b100315465,"[""Fragment d'un traité de médecine ; d'après le titre qui se lit à la première page, ce manuscrit formerait le second volume (djouz) du al-Tasrif li-man ʿadjaza min al-taʾlif, par Aboul-Qāsim Khalaf ibn ʿAbbas al-Andalousi al-Zahrawi ; voir le n° 5772.""]","['Aboul-Qāsim Khalaf ibn ʿAbbas al-Andalousi al-Zahrawi', 'Khalaf ibn ʿAbbas al-Andalousi al-Zahrawi (Aboul-Qāsim)']",1
