BNF OAI_11000434 candidates:
Latin count: 2
Arabic count: 0
  MATCH 0148JacfarSadiq.MisbahSharica (lat): score=27
  MATCH 0148JacfarSadiq.MisbahSharica (lat): score=20
  MATCH 0150AbuHanifa.FiqhAbsat (lat): score=36
  MATCH 0150AbuHanifa.FiqhAbsat (lat): score=28
  MATCH 0150AbuHanifa.FiqhAkbar (lat): score=36
  MATCH 0150AbuHanifa.FiqhAkbar (lat): score=28
  MATCH 0150AbuHanifa.Musnad (lat): score=16
  MATCH 0150AbuHanifa.Musnad (lat): score=12
  MATCH 0150AbuHanifa.Wasiyya (lat): score=16
  MATCH 0150AbuHanifa.Wasiyya (lat): score=19
  MATCH 0150IbnJurayj.Juz (lat): score=6
  MATCH 0150IbnJurayj.Juz (lat): score=4
  MATCH 0150MuqatilIbnSulayman.TafsirMuqatil (lat): score=27
  MATCH 0150MuqatilIbnSulayman.TafsirMuqatil (lat): score=24
  MATCH 0150SalihIbnJinahLakhmi.AdabMurua (lat): score=29
  MATCH 0150SalihIbnJinahLakhmi.AdabMurua (lat): score=18
  MATCH 0151IbnIshaq.Sira (lat): score=22
  MATCH 0151IbnIshaq.Sira (lat): score=24
  MATCH 0151MacmarIbnRashid.Jamic (lat): score=11
  MATCH 0151MacmarIbnRashid.Jamic (lat): score=8
  MATCH 0156IbnAbiCuruba.Manasik (lat): score=16
  MATCH 0156IbnAbiCuruba.Manasik (lat): score=19
  MATCH 0157AbuMikhnafAzdi.MaqtalHusayn (lat): score=32
  MATCH 0157AbuMikhnafAzdi.MaqtalHusayn (lat): score=28
  MATCH 0157AbuMikhnafAzdi.WaqcatTaff (lat): score=24
  MATCH 0157AbuMikhnafAzdi.WaqcatTaff (lat): score=25
  MATCH 0161SufyanThawri.Faraid (lat): score=22
  MATCH 0161SufyanThawri.Faraid (lat): score=16
  MATCH 0161SufyanThawri.Hadith (lat): score=16
  MATCH 0161SufyanThawri.Hadith (lat): score=12
  MATCH 0161SufyanThawri.Tafsir (lat): score=16
  MATCH 0161SufyanThawri.Tafsir (lat): score=12
  MATCH 0164MajishunMadani.Hajj (lat): score=11
  MATCH 0164MajishunMadani.Hajj (lat): score=4
  MATCH 0167BashsharIbnBurdShacir.Diwan (lat): score=11
  MATCH 0167BashsharIbnBurdShacir.Diwan (lat): score=12
  MATCH 0167SariIbnYahyaBasri.AhadithSari (lat): score=33
  MATCH 0167SariIbnYahyaBasri.AhadithSari (lat): score=25
  MATCH 0168IbnTahman.Mashyakha (lat): score=25
  MATCH 0168IbnTahman.Mashyakha (lat): score=15
  MATCH 0168MufaddalDabbi.AmthalCarab (lat): score=33
  MATCH 0168MufaddalDabbi.AmthalCarab (lat): score=25
  MATCH 0168MufaddalDabbi.Mufaddaliyyat (lat): score=23
  MATCH 0168MufaddalDabbi.Mufaddaliyyat (lat): score=17
  MATCH 0170AbuZaydQurashi.JamharatAshcarCarab (lat): score=38
  MATCH 0170AbuZaydQurashi.JamharatAshcarCarab (lat): score=33
  MATCH 0170KhalilFarahidi.Cayn (lat): score=17
  MATCH 0170KhalilFarahidi.Cayn (lat): score=12
  MATCH 0170KhalilFarahidi.JumalFiNahw (lat): score=27
  MATCH 0170KhalilFarahidi.JumalFiNahw (lat): score=24
  MATCH 0170RabicIbnHabibAzdi.JamicSahih (lat): score=24
  MATCH 0170RabicIbnHabibAzdi.JamicSahih (lat): score=18
  MATCH 0173SayyidHimyari.Diwan (lat): score=11
  MATCH 0173SayyidHimyari.Diwan (lat): score=12
  MATCH 0175Anonymous.SharhAfladhinushLiFusulAbuqrat (lat): score=34
  MATCH 0175Anonymous.SharhAfladhinushLiFusulAbuqrat (lat): score=30
  MATCH 0175LaythIbnSacd.CasharatAhadith (lat): score=34
  MATCH 0175LaythIbnSacd.CasharatAhadith (lat): score=26
  MATCH 0175LaythIbnSacd.Cawali (lat): score=22
  MATCH 0175LaythIbnSacd.Cawali (lat): score=20
  MATCH 0175LaythIbnSacd.MajlisMinFawaid (lat): score=29
  MATCH 0175LaythIbnSacd.MajlisMinFawaid (lat): score=29
  MATCH 0179MalikIbnAnas.Muwatta (lat): score=16
  MATCH 0179MalikIbnAnas.Muwatta (lat): score=19
  MATCH 0179MalikIbnAnas.RisalaIlaHarun (lat): score=34
  MATCH 0179MalikIbnAnas.RisalaIlaHarun (lat): score=33
  MATCH 0180AbuShamaqmaq.Diwan (lat): score=11
  MATCH 0180AbuShamaqmaq.Diwan (lat): score=12
  MATCH 0180IbnJacfarAnsari.HadithIsmacil (lat): score=27
  MATCH 0180IbnJacfarAnsari.HadithIsmacil (lat): score=20
  MATCH 0180Sibawayhi.KitabSibawayhi (lat): score=26
  MATCH 0180Sibawayhi.KitabSibawayhi (lat): score=27
  MATCH 0181IbnMubarak.ArbacunHadithan (lat): score=34
  MATCH 0181IbnMubarak.ArbacunHadithan (lat): score=33
  MATCH 0181IbnMubarak.Diwan (lat): score=11
  MATCH 0181IbnMubarak.Diwan (lat): score=12
  MATCH 0181IbnMubarak.Jihad (lat): score=17
  MATCH 0181IbnMubarak.Jihad (lat): score=8
  MATCH 0181IbnMubarak.Musnad (lat): score=16
  MATCH 0181IbnMubarak.Musnad (lat): score=12
  MATCH 0181IbnMubarak.Zuhd (lat): score=11
  MATCH 0181IbnMubarak.Zuhd (lat): score=4
  MATCH 0182AbuYusufYacqub.Athar (lat): score=32
  MATCH 0182AbuYusufYacqub.Athar (lat): score=27
  MATCH 0182AbuYusufYacqub.IkhtilafAbiHanifa (lat): score=48
